ticker,company_name,reporting_year,available_date,scope1_tco2e,scope2_location_tco2e,revenue_usd_mn,carbon_intensity_tco2e_per_usd_mn,carbon_period_end,revenue_period_end,period_end_gap_days,carbon_source,carbon_source_url,revenue_source,revenue_source_url,sec_revenue_tag,data_note
AAPL,Apple Inc.,2019,2020-08-27,50549.0,862127.0,260174.0,3.5079446831735686,2019-09-28,2019-09-28,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2020,2021-07-28,47430.0,890200.0,274515.0,3.4155874906653554,2020-09-26,2020-09-26,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2021,2022-08-01,55200.0,1003246.0,365817.0,2.8933756495734206,2021-09-25,2021-09-25,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2022,2023-07-27,55200.0,1065405.0,394328.0,2.8418093566776896,2022-09-25,2022-09-24,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2018,2019-07-30,90723.0,3000523.0,110360.0,28.01056542225444,2018-06-30,2018-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2019,2020-08-20,113412.0,3556553.0,125843.0,29.163044428375038,2019-06-30,2019-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2020,2021-07-26,118100.0,4102445.0,143015.0,29.51120511834423,2020-06-30,2020-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2021,2022-07-23,123704.0,4745197.0,168088.0,28.966380705344818,2021-06-30,2021-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2022,2023-08-16,139413.0,6381250.0,198270.0,32.88779442174812,2022-06-30,2022-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2018,2019-08-29,6101641.0,13057352.0,510329.0,37.542434390363866,2018-12-31,2019-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2019,2020-09-30,6484616.0,12190878.0,519926.0,35.919523162911645,2019-12-31,2020-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2020,2021-07-29,6728056.0,9891120.0,555233.0,29.93189525838702,2020-12-31,2021-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2021,2022-07-28,7321837.0,9747723.0,567762.0,30.064639761026626,2021-12-31,2022-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2022,2023-08-04,7880866.0,9981536.0,605881.0,29.48170020185482,2022-12-31,2023-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2018,2019-08-29,63521.0,4344686.0,136819.0,32.21926048282768,2018-12-31,2018-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2019,2020-08-25,66686.0,5116949.0,161857.0,32.02601679260088,2019-12-31,2019-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2020,2021-07-27,38694.0,5865095.0,182527.0,32.344743517397426,2020-12-31,2020-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2021,2022-08-10,45073.0,6576239.0,257637.0,25.700159526776044,2021-12-31,2021-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2022,2023-07-26,91200.0,8045400.0,282836.0,28.767907904227183,2022-12-31,2022-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
V,VISA INC.,2018,2019-07-31,9165.0,92519.0,20609.0,4.933960890872919,2018-12-31,2018-09-30,92,Climate Data Utility / CDP,https://climatedatautility.org/companies/13981,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
V,VISA INC.,2019,2020-08-26,8642.0,66009.0,22977.0,3.248944596770684,2019-09-30,2019-09-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13981,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
V,VISA INC.,2020,2021-07-28,5102.0,66462.0,21846.0,3.275839970704019,2020-09-30,2020-09-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13981,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
V,VISA INC.,2021,2022-07-29,4018.0,59188.0,24105.0,2.6221115951047502,2021-09-30,2021-09-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13981,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
V,VISA INC.,2022,2023-07-24,6400.0,60900.0,29310.0,2.296144660525418,2022-09-30,2022-09-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13981,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2018,2018-09-17,2356.0,51230.0,9714.0,5.516368128474367,2018-01-29,2018-01-28,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2019,2019-08-23,2671.0,64940.0,11716.0,5.77082622055309,2019-01-28,2019-01-27,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2020,2020-08-26,2819.0,97143.0,10918.0,9.155706173291811,2020-01-31,2020-01-26,5,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2021,2021-08-27,2692.0,105621.0,16675.0,6.495532233883059,2021-01-31,2021-01-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2022,2022-08-01,4612.0,133569.0,26914.0,5.134168090956379,2022-01-30,2022-01-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
NVDA,NVIDIA CORP,2023,2023-07-26,12346.0,142909.0,26974.0,5.755727737821606,2023-01-29,2023-01-29,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13196,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JPM,JPMORGAN CHASE & CO,2018,2019-09-30,83101.0,739458.0,109029.0,7.544405616854231,2018-12-31,2018-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12733,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JPM,JPMORGAN CHASE & CO,2019,2020-09-30,81655.0,692299.0,115627.0,6.693540436057322,2019-12-31,2019-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12733,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JPM,JPMORGAN CHASE & CO,2020,2021-09-28,69570.0,660601.0,119543.0,6.10801970838945,2020-12-31,2020-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12733,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JPM,JPMORGAN CHASE & CO,2021,2022-09-28,84911.0,755514.0,121649.0,6.908605907159122,2021-12-31,2021-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12733,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JPM,JPMORGAN CHASE & CO,2022,2023-09-25,88553.0,783616.0,128695.0,6.777023194374296,2022-12-31,2022-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12733,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
COP,ConocoPhillips,2018,2019-07-29,19175798.0,1086954.0,36417.0,556.4091495730016,2018-12-31,2018-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12049,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
COP,ConocoPhillips,2019,2020-08-13,19500244.0,956931.0,32567.0,628.1565695335769,2019-12-31,2019-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12049,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
COP,ConocoPhillips,2020,2021-07-26,15482352.0,667660.0,18784.0,859.7749148211244,2020-12-31,2020-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12049,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
COP,ConocoPhillips,2021,2022-08-10,17720000.0,1000000.0,45828.0,408.483896307934,2021-12-31,2021-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12049,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
COP,ConocoPhillips,2022,2023-07-26,14954000.0,1060000.0,61049.0,262.3138790152173,2022-12-31,2022-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/12049,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1163165/000116316523000006/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JNJ,Johnson & Johnson,2018,2019-07-31,445054.0,680326.0,81581.0,13.794633554381535,2018-12-31,2018-12-30,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/12729,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JNJ,Johnson & Johnson,2019,2020-08-24,415094.0,648598.0,82059.0,12.962526962307608,2019-12-31,2019-12-29,2,Climate Data Utility / CDP,https://climatedatautility.org/companies/12729,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JNJ,Johnson & Johnson,2020,2021-07-26,363924.0,641489.0,82584.0,12.174428460718783,2020-12-31,2021-01-03,3,Climate Data Utility / CDP,https://climatedatautility.org/companies/12729,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JNJ,Johnson & Johnson,2021,2022-07-26,367674.0,616093.0,93775.0,10.490717142095441,2021-12-31,2022-01-02,2,Climate Data Utility / CDP,https://climatedatautility.org/companies/12729,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
JNJ,Johnson & Johnson,2022,2023-07-27,384622.0,606096.0,94943.0,10.4348714491853,2022-12-31,2023-01-01,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/12729,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
PG,PROCTER & GAMBLE CO,2018,2019-07-31,2137895.0,2598621.0,66832.0,70.87197749581038,2018-06-30,2018-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13332,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/,SalesRevenueNet,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
PG,PROCTER & GAMBLE CO,2019,2020-08-25,2210497.0,2544389.0,67684.0,70.2512558359435,2019-06-30,2019-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13332,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
PG,PROCTER & GAMBLE CO,2020,2021-07-28,2217501.0,2566669.0,70950.0,67.43016208597604,2020-06-30,2020-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13332,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
PG,PROCTER & GAMBLE CO,2021,2022-07-22,2241542.0,2436076.0,76118.0,61.452192648256656,2021-06-30,2021-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13332,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
PG,PROCTER & GAMBLE CO,2022,2023-07-20,2159904.0,2324446.0,80187.0,55.923653460037166,2022-06-30,2022-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13332,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/80424/000008042422000064/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
